idx,info_gain,feature,n_unique
5,1.6007481166904434,lego_2,3408
267,1.3793611504189407,i,563
282,1.3779644469367263,x,467
6,1.347994624979389,lego_3,902
19,1.3449404439051165,word_1,822
277,1.3226730331038823,s,403
263,1.3183559151222788,e,420
271,1.3161245852873655,m,385
276,1.3053663463700005,r,364
8,1.2917717794951677,lego_5,316
281,1.2669536725858848,w,352
280,1.204707988227522,v,317
270,1.195730297844836,l,282
25,1.1713770806025536,word_7,266
26,1.1358788115182286,word_8,252
274,1.1202604374705238,p,242
24,1.1104146917297335,word_6,244
376,1.0738056109424328,phr_(SINV FRAG),208
266,1.0486269694112949,h,231
331,1.0421948589690828,pos_DT,210
283,1.0382409448194814,y,190
463,1.035475970641329,phr_(NP DT),191
7,1.0352219776278844,lego_4,23303
20,0.9941733409062863,word_2,182
275,0.9493904835973908,q,171
265,0.9491803120572015,g,188
338,0.940256653393142,pos_LS,161
372,0.9334054619340577,phr_(S VP),166
312,0.9203641096235557,X..16,123
21,0.903387775748886,word_3,160
27,0.9032466450945194,word_9,164
287,0.9019352646872107,X2,156
269,0.877357020961945,k,149
335,0.8750410844469343,pos_JJ,134
467,0.8647053524381967,phr_(NP JJ),133
285,0.8626352339167198,X0,157
332,0.8618066133828357,pos_EX,147
464,0.8611421717806031,phr_(NP EX),147
278,0.8427485739843981,t,151
509,0.8385412849903169,phr_(PP NNS),131
350,0.8363869347982451,pos_SYM,121
268,0.8358437690165204,j,142
665,0.8346579095147391,phr_(PP WHNP),129
698,0.830064014321632,phr_(VP UCP),114
28,0.829486996625306,word_10,122
9,0.7927205575767715,lego_6,91
339,0.7703398860619544,pos_MD,120
264,0.7674244985987357,f,117
29,0.7422505683004061,word_11,114
23,0.7112376981719883,word_5,103
357,0.6989966714142923,pos_VBP,94
577,0.6966460890974382,phr_(VP VBP),91
344,0.6634844966440916,pos_POS,96
699,0.6284744655577512,phr_(VP WHNP),80
273,0.6266993357516455,o,84
475,0.6256127470286579,phr_(NP POS),91
284,0.622954430037705,z,88
428,0.620256532328952,phr_(ADVP SYM),77
471,0.614136771423869,phr_(NP NNS),85
361,0.6078722976326425,pos_WP$,76
581,0.602190770579444,phr_(WHADJP WP),75
30,0.5928808827093341,word_12,79
145,0.5883754633969787,fw_very,79
310,0.544131008604122,X..14,84
305,0.5367658844190579,X..10,63
362,0.5363187734904216,pos_WRB,73
582,0.5298721534491939,phr_(WHADJP WRB),71
333,0.5294576494948622,pos_FW,74
18,0.5254701446789944,other_case,119
650,0.5121754554251403,phr_(NP RRC),67
345,0.4996617138854589,pos_PRP$,145
476,0.4969218991874733,phr_(NP PRP$),108
694,0.4805282817544523,phr_(VP NP),49
355,0.4770824521478403,pos_VBG,58
31,0.47534508285033183,word_13,61
217,0.47500870010375706,fw_haven.t,57
95,0.46985926988633153,fw_mine,48
397,0.4601868725550702,phr_(ADJP NNP),46
358,0.4585591561553599,pos_VBZ,105
359,0.4563811793286554,pos_WDT,46
578,0.4544649125667597,phr_(VP VBZ),105
184,0.4461934105143399,fw_whose,62
579,0.44088592470244947,phr_(WHADJP JJ),46
10,0.41107980495332797,lego_7,44
156,0.364515054128713,fw_on,45
349,0.36395692024878556,pos_RP,53
575,0.3634402037980493,phr_(VP VBG),44
480,0.3632546570019777,phr_(NP RP),52
216,0.3616638676617505,fw_.re,41
360,0.3614193429689472,pos_WP,46
32,0.3568294822000162,word_14,47
693,0.35434909158511374,phr_(VP INTJ),37
343,0.3525702220879232,pos_PDT,40
58,0.3524952521371283,fw_together,36
568,0.34625444930993154,phr_(VP POS),38
580,0.3459271335914238,phr_(WHADJP RB),43
573,0.33707634284576216,phr_(VP VB),31
214,0.3270852661960717,fw_in,43
218,0.32283892841253703,fw_after,33
177,0.32061208195572277,fw_yet,49
368,0.3196419318570811,phr_(S NP),30
334,0.2987176061794514,pos_IN,94
466,0.2792907929252735,phr_(NP IN),53
272,0.2766824026700796,n,32
11,0.24485798993200092,lego_8,27
465,0.20996620061257687,phr_(NP FW),31
171,0.20638422672286083,fw_them,24
366,0.20181719499972672,phr_(S FRAG),20
521,0.20158275406970816,phr_(PP VBN),25
403,0.1989337428615343,phr_(ADJP SYM),25
190,0.1974427869304627,fw_by,22
319,0.19734199204087233,X..23,32
563,0.19719445747525555,phr_(VP LS),27
33,0.19636097815623188,word_15,31
105,0.19537394497269744,fw_when,36
286,0.1927177720526494,X1,36
45,0.18753230156193013,fw_until,19
141,0.18676518177178636,fw_the,24
252,0.18283388805052425,fw_before,19
239,0.18221222830586825,fw_ever,40
160,0.18062910600020388,fw_inside,21
235,0.180603788384758,fw_was,25
53,0.17986863825876043,fw_mayn.t,26
112,0.17962734241103462,fw_here,19
169,0.17533881505946525,fw_always,29
364,0.17500822256765147,phr_(S ADVP),21
208,0.17369067635999613,fw_about,21
353,0.17310689076949615,pos_VB,25
701,0.17213751710089298,phr_(WHADJP ADJP),24
642,0.17202627579213114,phr_(NP INTJ),30
600,0.16820021156051013,phr_(X CC),19
540,0.16662050970788655,phr_(QP CD),21
340,0.16580527729659877,pos_NNS,82
363,0.16413085288321838,phr_(S ADJP),20
311,0.16276398546316528,X..15,91
146,0.16240686783614677,fw_itself,16
22,0.15994676981453537,word_4,48
224,0.159529268776879,fw_perhaps,21
481,0.1580592101822873,phr_(NP SYM),17
299,0.15761184152834673,X..4,54
300,0.1574495801246094,X..5,41
599,0.15678657497684512,phr_(X NN),22
192,0.1564372340186928,fw_wouldn.t,18
656,0.15587795749956967,phr_(NX PP),17
631,0.15263179833308627,phr_(FRAG WHADJP),24
197,0.15208479234656025,fw_yourself,20
618,0.15141830045958926,phr_(ADVP ADJP),15
307,0.14860773114622816,X..12,30
226,0.1471085632367064,fw_though,19
106,0.14678515038677276,fw_down,30
148,0.14592239319671663,fw_thus,21
306,0.1432825909253168,X..11,29
229,0.1423622246952405,fw_am,18
12,0.13971281969475058,lego_9,18
261,0.13936650214635193,c,15
34,0.1385614993123987,word_16,25
373,0.1366654229898252,phr_(S X),16
314,0.13564350971026684,X..18,42
313,0.13506508484620738,X..17,88
288,0.13432252387979915,X3,32
236,0.13291651950003924,fw_past,14
212,0.13239230861779205,fw_it,15
117,0.12961174281557675,fw_can,21
132,0.12859843898973367,fw_.ve,42
107,0.1278092926147174,fw_because,14
109,0.126806507437351,fw_forward,12
290,0.12652503869183107,X5,61
157,0.12622798368412091,fw_through,17
133,0.12597823801280228,fw_didn.t,33
289,0.1255647876539001,X4,73
193,0.12391016739148242,fw_like,15
420,0.12323282821548887,phr_(ADVP LS),11
121,0.12249476995927822,fw_off,16
195,0.12212934024359257,fw_many,24
231,0.12185464155882286,fw_do,11
77,0.12158257036308484,fw_soon,17
367,0.11895790867265177,phr_(S INTJ),14
279,0.118501736998045,u,25
111,0.1150115508916123,fw_more,13
227,0.11466308686965121,fw_an,14
291,0.11245526128715966,X6,49
336,0.11177598588569992,pos_JJR,13
468,0.11174370759676577,phr_(NP JJR),13
472,0.11155146907150737,phr_(NP NNP),33
348,0.10897203137271916,pos_RBS,17
341,0.10863111008409732,pos_NNP,13
479,0.10789484428882545,phr_(NP RBS),16
86,0.10664624913339793,fw_ahead,17
388,0.10533624683779763,phr_(ADJP CC),14
175,0.10480942230457657,fw_each,17
251,0.10476260566271733,fw_hadn.t,12
194,0.10432181416618747,fw_its,17
115,0.10392469125806514,fw_couldn.t,14
47,0.10384509544686793,fw_.ll,14
390,0.10381349783035887,phr_(ADJP DT),14
163,0.10312045842513484,fw_unless,18
398,0.10005637251107302,phr_(ADJP PRP$),54
100,0.09522327305090883,fw_till,13
356,0.09499359250478889,pos_VBN,15
52,0.09449836916486021,fw_already,12
643,0.09144879631616476,phr_(NP LST),8
13,0,lego_10p,13
14,0,all_upper,14
15,0,all_lower,12
16,0,first_upper,8
17,0,camel,34
35,0,word_17,17
36,0,word_18,14
37,0,word_19,8
38,0,word_20p,8
39,0,fw_usually,5
40,0,fw_away,5
41,0,fw_this,3
42,0,fw_she,6
43,0,fw_did,5
44,0,fw_shall,7
46,0,fw_wasn.t,37
48,0,fw_has,10
49,0,fw_are,7
50,0,fw_could,1
51,0,fw_often,1
54,0,fw_that,12
55,0,fw_themselves,6
56,0,fw_will,8
57,0,fw_won.t,1
59,0,fw_while,7
60,0,fw_aren.t,21
61,0,fw_although,1
62,0,fw_where,8
63,0,fw_shouldn.t,8
64,0,fw_herself,1
65,0,fw_ought,5
66,0,fw_cannot,10
67,0,fw_shan.t,1
68,0,fw_below,6
69,0,fw_weren.t,4
70,0,fw_once,1
71,0,fw_under,1
72,0,fw_us,5
73,0,fw_up,1
74,0,fw_instead,7
75,0,fw_I,6
76,0,fw_during,18
78,0,fw_either,5
79,0,fw_never,1
80,0,fw_well,6
81,0,fw_neither,4
82,0,fw_who,6
83,0,fw_him,11
84,0,fw_quite,7
85,0,fw_may,5
87,0,fw_should,21
88,0,fw_only,6
89,0,fw_his,9
90,0,fw_those,4
91,0,fw_a,14
92,0,fw_without,10
93,0,fw_onto,21
94,0,fw_why,9
96,0,fw_some,7
97,0,fw_don.t,5
98,0,fw_since,12
99,0,fw_therefore,7
101,0,fw_my,1
102,0,fw_me,8
103,0,fw_there,5
104,0,fw_than,5
108,0,fw_with,12
110,0,fw_hers,11
113,0,fw_would,5
114,0,fw_too,3
116,0,fw_himself,10
118,0,fw_inspite,10
119,0,fw_must,1
120,0,fw_none,7
122,0,fw_towards,2
123,0,fw_were,8
124,0,fw_which,6
125,0,fw_rather,10
126,0,fw_ha,6
127,0,fw_behind,17
128,0,fw_he,11
129,0,fw_we,6
130,0,fw_against,12
131,0,fw_these,6
134,0,fw_much,8
135,0,fw_near,13
136,0,fw_whether,1
137,0,fw_not,1
138,0,fw_now,10
139,0,fw_every,4
140,0,fw_nor,7
142,0,fw_just,11
143,0,fw_hasn.t,12
144,0,fw_or,6
147,0,fw_whom,1
149,0,fw_several,19
150,0,fw_ago,6
151,0,fw_beside,6
152,0,fw_of,4
153,0,fw_out,5
154,0,fw_can.t,7
155,0,fw_our,3
158,0,fw_beneath,1
159,0,fw_their,17
161,0,fw_might,9
162,0,fw_does,3
164,0,fw_again,7
165,0,fw_they,9
166,0,fw_between,10
167,0,fw_for,5
168,0,fw_yourselves,8
170,0,fw_backward,6
172,0,fw_then,4
173,0,fw_you,8
174,0,fw_theirs,3
176,0,fw_backwards,13
178,0,fw_n.t,4
179,0,fw_.cos,9
180,0,fw_and,4
181,0,fw_both,7
182,0,fw_mightn.t,1
183,0,fw_any,1
185,0,fw_needs,9
186,0,fw_but,1
187,0,fw_over,10
188,0,fw_so,3
189,0,fw_from,7
191,0,fw_your,9
196,0,fw_almost,1
198,0,fw_despite,13
199,0,fw_mustn.t,9
200,0,fw_along,6
201,0,fw_cause,10
202,0,fw_ours,4
203,0,fw_her,1
204,0,fw_be,6
205,0,fw_myself,8
206,0,fw_among,4
207,0,fw_less,33
209,0,fw_needn.t,10
210,0,fw_is,6
211,0,fw_upon,8
213,0,fw_to,1
215,0,fw_howeve,5
219,0,fw_least,2
220,0,fw_if,1
221,0,fw_except,1
222,0,fw_as,12
223,0,fw_no,6
225,0,fw_at,4
228,0,fw_around,7
230,0,fw_yours,7
232,0,fw_all,8
233,0,fw_.m,12
234,0,fw_seldom,3
237,0,fw_.d,1
238,0,fw_ourselves,3
240,0,fw_even,8
241,0,fw_oughtn.t,1
242,0,fw_above,6
243,0,fw_.s,8
244,0,fw_.t,10
245,0,fw_also,1
246,0,fw_isn.t,4
247,0,fw_how,1
248,0,fw_have,1
249,0,fw_outside,12
250,0,fw_into,1
253,0,fw_used,5
254,0,fw_most,10
255,0,fw_need,1
256,0,fw_doesn.t,7
257,0,fw_what,9
258,0,fw_sometimes,10
259,0,a,11
260,0,b,1
262,0,d,7
292,0,X7,36
293,0,X8,29
294,0,X9,34
295,0,X.,30
296,0,X..1,31
297,0,X..2,29
298,0,X..3,41
301,0,X..6,16
302,0,X..7,23
303,0,X..8,29
304,0,X..9,34
308,0,.,53
309,0,X..13,24
315,0,X..19,40
316,0,X..20,1
317,0,X..21,32
318,0,X..22,1
320,0,X..24,10
321,0,X_,15
322,0,X..25,15
323,0,X..26,15
324,0,X..27,63
325,0,X..28,59
326,0,X..29,8
327,0,pos_NN,2
328,0,pos_PRP,21
329,0,pos_CC,2
330,0,pos_CD,19
337,0,pos_JJS,41
342,0,pos_NNPS,10
346,0,pos_RB,22
347,0,pos_RBR,8
351,0,pos_TO,13
352,0,pos_UH,6
354,0,pos_VBD,42
365,0,phr_(S CONJP),3
369,0,phr_(S PP),3
370,0,phr_(S PRN),6
371,0,phr_(S UCP),10
374,0,phr_(SINV ADJP),7
375,0,phr_(SINV ADVP),5
377,0,phr_(SINV NP),12
378,0,phr_(SINV PP),3
379,0,phr_(SINV PRN),5
380,0,phr_(SINV VP),3
381,0,phr_(SQ ADJP),6
382,0,phr_(SQ ADVP),3
383,0,phr_(SQ FRAG),2
384,0,phr_(SQ NP),6
385,0,phr_(SQ PP),5
386,0,phr_(SQ VP),4
387,0,phr_(ADJP NN),5
389,0,phr_(ADJP CD),4
391,0,phr_(ADJP FW),9
392,0,phr_(ADJP IN),10
393,0,phr_(ADJP JJ),11
394,0,phr_(ADJP JJR),8
395,0,phr_(ADJP JJS),5
396,0,phr_(ADJP NNS),5
399,0,phr_(ADJP RB),5
400,0,phr_(ADJP RBR),4
401,0,phr_(ADJP RBS),6
402,0,phr_(ADJP RP),5
404,0,phr_(ADJP TO),9
405,0,phr_(ADJP VB),6
406,0,phr_(ADJP VBD),4
407,0,phr_(ADJP VBG),3
