author,n_words,n_posts
IHeartmyshihtzu,981,56
ZXCVBNM9012,1282,12
InVultusSolis,3232,90
ParentPostLacksWang,3750,50
GalaxyDelta9,582,39
Hcysntmf,1532,53
Norfucksailor,1233,36
Afasso,708,10
Heliocentrist,2852,266
cunninglinguist81,4889,47
RonaId_Trump,4522,269
Stolichnayaaa,1017,34
xENO_,1005,14
rhackleford,2047,71
Tnargkiller,1252,35
veggielover24,755,7
JacksonGuitarguy,2826,107
screenwblues,841,6
kodefuguru,3356,129
somekid66,2683,85
bigbeardthesecond,594,47
damnthatsfuckinggood,610,58
Gillig4n,1084,37
FromAPorcelainThrone,683,19
LouGossetJr,516,26
FearDaNeard,624,21
JimmyHoffa1,692,44
ComaRedxbl,866,30
Asphyxiatinglaughter,1116,87
shitpost12,533,6
Zulucandle,1556,33
componentfield,564,25
BigBrownDownTown,509,11
WadeK,2767,63
PhysicianDre,7027,121
Dexaan,2286,280
ShouldBeAnUpvoteGif,2932,102
Beebeeb,554,34
crazyike,3433,36
kvltwarrior98,579,20
RedneckAvengers,654,42
headfullofmangos,976,20
woodukindly_bruh,5401,128
CannedBullet,2696,88
FearLeadsToAnger,2890,71
shadeslayer0930,504,37
dokkou,672,6
j_strange888,576,11
150c_vapour,913,27
__worldpeace,1077,21
