features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-20_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2,nn-20_gt-2,nn-2_gt-3,nn-5_gt-3,nn-10_gt-3,nn-20_gt-3,nn-2_gt-4,nn-5_gt-4,nn-10_gt-4,nn-20_gt-4
Dexaan,2,2,4,1,0,2,4,1,0,2,4,1,0,0,4,1
150c_vapour,NA,NA,3,7,0,NA,3,7,0,NA,3,7,0,0,3,7
Dexaan,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
Dexaan,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
150c_vapour,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,8,13,0,NA,8,13,0,NA,8,13,0,0,8,13
Heliocentrist,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
Tnargkiller,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
woodukindly_bruh,NA,NA,NA,4,0,NA,NA,4,0,NA,NA,4,0,0,NA,4
Zulucandle,NA,NA,10,14,0,NA,10,14,0,NA,10,14,0,0,10,14
kodefuguru,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,2,5,8,10,0,5,8,10,0,5,8,10,0,0,8,10
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,4,6,9,0,4,6,9,0,4,6,9,0,0,6,9
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
RonaId_Trump,2,1,2,1,0,1,2,1,0,1,2,1,0,0,2,1
