features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2
RonaId_Trump,2,3,3,0,3,3
RonaId_Trump,Inf,2,2,Inf,2,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,Inf,Inf,5,Inf,Inf,5
RonaId_Trump,2,1,1,0,1,1
RonaId_Trump,Inf,1,1,Inf,1,1
RonaId_Trump,2,3,2,0,3,2
RonaId_Trump,1,3,6,0,3,6
RonaId_Trump,2,5,7,0,5,7
RonaId_Trump,2,1,2,0,1,2
RonaId_Trump,2,3,3,0,3,3
RonaId_Trump,Inf,5,6,Inf,5,6
RonaId_Trump,2,5,1,0,5,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,4,Inf,3,4
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,1,1,1,0,1,1
Dexaan,1,2,4,0,2,4
Dexaan,Inf,1,1,Inf,1,1
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,3,1,Inf,3,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,1,1,1,0,1,1
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,1,1,1,0,1,1
Dexaan,Inf,2,3,Inf,2,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,2,3,Inf,2,3
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,2,1,Inf,2,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,1,2,2,0,2,2
Dexaan,1,1,1,0,1,1
Dexaan,Inf,1,1,Inf,1,1
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,3,Inf,Inf,3
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,7,Inf,Inf,7
somekid66,2,5,10,0,5,10
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,4,Inf,Inf,4
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,5,Inf,Inf,5
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,5,Inf,Inf,5
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,1,1,1,0,1,1
Heliocentrist,Inf,Inf,2,Inf,Inf,2
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,4,Inf,Inf,4
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
cunninglinguist81,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,1,1,Inf,1,1
FearLeadsToAnger,Inf,Inf,4,Inf,Inf,4
FearLeadsToAnger,Inf,2,3,Inf,2,3
FearLeadsToAnger,Inf,1,2,Inf,1,2
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,3,4,Inf,3,4
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,2,2,Inf,2,2
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,3,1,Inf,3,1
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,5,Inf,Inf,5
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,1,3,6,0,3,6
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,3,Inf,Inf,3
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,4,8,Inf,4,8
Tnargkiller,Inf,Inf,7,Inf,Inf,7
Tnargkiller,2,5,2,0,5,2
Tnargkiller,Inf,Inf,8,Inf,Inf,8
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,5,Inf,Inf,5
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,5,Inf,Inf,5
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,1,4,7,0,4,7
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,4,7,Inf,4,7
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
screenwblues,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,2,4,Inf,2,4
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,5,Inf,Inf,5
InVultusSolis,Inf,3,4,Inf,3,4
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,5,Inf,Inf,5
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,3,6,Inf,3,6
woodukindly_bruh,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,4,6,Inf,4,6
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,4,Inf,3,4
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,1,Inf,Inf,1
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,7,Inf,Inf,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,3,Inf,3,3
